mpg,cylinders,displacement,horsepower,weight,acceleration,modelyear,origin
19.2,3,231,105,3535,19.2,8,0
20.5,3,200,95,3155,18.2,8,0
20.2,3,200,85,2965,15.8,8,0
25.1,1,140,88,2720,15.4,8,0
20.5,3,225,100,3430,17.2,8,0
19.4,3,232,90,3210,17.2,8,0
20.6,3,231,105,3380,15.8,8,0
20.8,3,200,85,3070,16.7,8,0
18.6,3,225,110,3620,18.7,8,0
18.1,3,258,120,3410,15.1,8,0
19.2,4,305,145,3425,13.2,8,0
17.7,3,231,165,3445,13.4,8,0
18.1,4,302,139,3205,11.2,8,0
17.5,4,318,140,4080,13.7,8,0
30,1,98,68,2155,16.5,8,0
27.5,1,134,95,2560,14.2,8,2
27.2,1,119,97,2300,14.7,8,2
30.9,1,105,75,2230,14.5,8,0
21.1,1,134,95,2515,14.8,8,2
23.2,1,156,105,2745,16.7,8,0
23.8,1,151,85,2855,17.6,8,0
23.9,1,119,97,2405,14.9,8,2
20.3,2,131,103,2830,15.9,8,1
17,3,163,125,3140,13.6,8,1
21.6,1,121,115,2795,15.7,8,1
16.2,3,163,133,3410,15.8,8,1
31.5,1,89,71,1990,14.9,8,1
29.5,1,98,68,2135,16.6,8,2
21.5,3,231,115,3245,15.4,9,0
19.8,3,200,85,2990,18.2,9,0
22.3,1,140,88,2890,17.3,9,0
20.2,3,232,90,3265,18.2,9,0
20.6,3,225,110,3360,16.6,9,0
17,4,305,130,3840,15.4,9,0
17.6,4,302,129,3725,13.4,9,0
16.5,4,351,138,3955,13.2,9,0
18.2,4,318,135,3830,15.2,9,0
16.9,4,350,155,4360,14.9,9,0
15.5,4,351,142,4054,14.3,9,0
19.2,4,267,125,3605,15,9,0
18.5,4,360,150,3940,13,9,0
31.9,1,89,71,1925,14,9,1
34.1,1,86,65,1975,15.2,9,2
35.7,1,98,80,1915,14.4,9,0
27.4,1,121,80,2670,15,9,0
25.4,2,183,77,3530,20.1,9,1
23,4,350,125,3900,17.4,9,0
27.2,1,141,71,3190,24.8,9,1
23.9,4,260,90,3420,22.2,9,0
34.2,1,105,70,2200,13.2,9,0
34.5,1,105,70,2150,14.9,9,0
31.8,1,85,65,2020,19.2,9,2
37.3,1,91,69,2130,14.7,9,1
28.4,1,151,90,2670,16,9,0
28.8,3,173,115,2595,11.3,9,0
26.8,3,173,115,2700,12.9,9,0
33.5,1,151,90,2556,13.2,9,0
41.5,1,98,76,2144,14.7,10,1
38.1,1,89,60,1968,18.8,10,2
32.1,1,98,70,2120,15.5,10,0
37.2,1,86,65,2019,16.4,10,2
28,1,151,90,2678,16.5,10,0
26.4,1,140,88,2870,18.1,10,0
24.3,1,151,90,3003,20.1,10,0
19.1,3,225,90,3381,18.7,10,0
34.3,1,97,78,2188,15.8,10,1
29.8,1,134,90,2711,15.5,10,2
31.3,1,120,75,2542,17.5,10,2
37,1,119,92,2434,15,10,2
32.2,1,108,75,2265,15.2,10,2
46.6,1,86,65,2110,17.9,10,2
27.9,1,156,105,2800,14.4,10,0
40.8,1,85,65,2110,19.2,10,2
44.3,1,90,48,2085,21.7,10,1
43.4,1,90,48,2335,23.7,10,1
36.4,2,121,67,2950,19.9,10,1
30,1,146,67,3250,21.8,10,1
44.6,1,91,67,1850,13.8,10,2
33.8,1,97,67,2145,18,10,2
29.8,1,89,62,1845,15.3,10,1
32.7,3,168,132,2910,11.4,10,2
23.7,0,70,100,2420,12.5,10,2
35,1,122,88,2500,15.1,10,1
32.4,1,107,72,2290,17,10,2
27.2,1,135,84,2490,15.7,11,0
26.6,1,151,84,2635,16.4,11,0
25.8,1,156,92,2620,14.4,11,0
23.5,3,173,110,2725,12.6,11,0
30,1,135,84,2385,12.9,11,0
39.1,1,79,58,1755,16.9,11,2
39,1,86,64,1875,16.4,11,0
35.1,1,81,60,1760,16.1,11,2
32.3,1,97,67,2065,17.8,11,2
37,1,85,65,1975,19.4,11,2
37.7,1,89,62,2050,17.3,11,2
34.1,1,91,68,1985,16,11,2
34.7,1,105,63,2215,14.9,11,0
34.4,1,98,65,2045,16.2,11,0
29.9,1,98,65,2380,20.7,11,0
33,1,105,74,2190,14.2,11,1
33.7,1,107,75,2210,14.4,11,2
32.4,1,108,75,2350,16.8,11,2
32.9,1,119,100,2615,14.8,11,2
31.6,1,120,74,2635,18.3,11,2
28.1,1,141,80,3230,20.4,11,1
30.7,3,145,76,3160,19.6,11,1
25.4,3,168,116,2900,12.6,11,2
24.2,3,146,120,2930,13.8,11,2
22.4,3,231,110,3415,15.8,11,0
26.6,4,350,105,3725,19,11,0
20.2,3,200,88,3060,17.1,11,0
17.6,3,225,85,3465,16.6,11,0
28,1,112,88,2605,19.6,12,0
27,1,112,88,2640,18.6,12,0
34,1,112,88,2395,18,12,0
31,1,112,85,2575,16.2,12,0
29,1,135,84,2525,16,12,0
27,1,151,90,2735,18,12,0
24,1,140,92,2865,16.4,12,0
36,1,105,74,1980,15.3,12,1
37,1,91,68,2025,18.2,12,2
31,1,91,68,1970,17.6,12,2
38,1,105,63,2125,14.7,12,0
36,1,98,70,2125,17.3,12,0
36,1,120,88,2160,14.5,12,2
36,1,107,75,2205,14.5,12,2
34,1,108,70,2245,16.9,12,2
38,1,91,67,1965,15,12,2
32,1,91,67,1965,15.7,12,2
38,1,91,67,1995,16.2,12,2
25,3,181,110,2945,16.4,12,0
38,3,262,85,3015,17,12,0
26,1,156,92,2585,14.5,12,0
22,3,232,112,2835,14.7,12,0
32,1,144,96,2665,13.9,12,2
36,1,135,84,2370,13,12,0
27,1,151,90,2950,17.3,12,0
27,1,140,86,2790,15.6,12,0
44,1,97,52,2130,24.6,12,1
32,1,135,84,2295,11.6,12,0
28,1,120,79,2625,18.6,12,0
31,1,119,82,2720,19.4,12,0
